Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
TMAR6   42.01   112.59     0.71    0.519      0.00    0.181      1.49       4.04       -0.50       8.29        3.21    0.1284      -0.0042     1.62    0.0578      0.0063 0.00   
TMAR5   42.67   114.35     0.72    0.527      0.00    0.184      1.51       4.10       -0.51       8.35        3.24    0.1284      -0.0042     1.62    0.0578      0.0063 0.00   
NETC3   38.50   123.10     2.12    1.290      0.00    1.074      -33.02     10.82      -2.96       12.15       5.27    0.1193      0.0155      0.80    0.1095      0.0172 0.00   
CRFB3   11.59   124.64     1.24    0.222      0.019   0.279      -6.27      5.82       -0.88       9.83        6.68    0.0381      0.0038      0.91    0.0615      0.0099 82387700.00
NETC4   40.00   127.89     2.20    1.340      0.00    1.116      -34.31     11.24      -3.08       12.57       5.45    0.1193      0.0155      0.80    0.1095      0.0172 0.00   
SIMH3   8.20    132.38     1.97    0.224      0.0192  0.110      0.82       1.21       -0.19       7.04        4.81    0.185       0.0115      1.75    0.1116      0.0148 31249200.00
PATI3   29.00   132.91     0.82    0.367      0.0167  0.407      0.83       17.30      1.55        14.74       11.19   0.0212      0.0028      2.78    0.0442      0.0062 2442.23
MERC4   7.00    146.25     0.51    0.000      0.0643  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0035 295.93 
PATI4   33.00   151.24     0.93    0.417      0.0639  0.463      0.94       19.68      1.77        17.13       13.00   0.0212      0.0028      2.78    0.0442      0.0062 82.50  
CEPE3   128.00  154.04     6.41    1.134      0.00    0.715      -39.96     7.61       -1.11       13.41       10.18   0.149       0.0074      0.93    0.1044      0.0416 0.00   
TMAR3   62.00   166.16     1.04    0.765      0.00    0.268      2.20       5.96       -0.74       10.21       3.96    0.1284      -0.0042     1.62    0.0578      0.0063 0.00   
MLFT4   22.39   169.28     11.34   41.519     0.00    6.483      80.45      84.45      -27.92      87.75       67.12   0.4916      0.2499      1.71    0.0901      0.067 0.00   
CASN3   10.45   178.97     5.40    6.821      0.0019  2.387      -34.51     42.19      -5.39       48.70       28.36   0.1617      0.0381      0.63    0.0592      0.0302 0.00   
BIDI3   3.40    225.51     1.06    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0047 0.00   
BIDI4   3.41    226.17     1.06    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0047 0.00   
BIDI11  10.40   229.93     1.08    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0047 0.00   
ELEV3   24.30   312.39     3.22    0.688      0.00    0.954      5.75       37.19      -5.18       51.41       51.41   0.0185      0.0027      1.47    0.0301      0.0103 0.00   
